"n","lambda","adj_x_bar","KLD","BC","Fc","eta_x_R_plus","derrorAB_dn","derrorBC_dn","x_bar"
5.5,10,50,2.51982805007087,0.79148372649018,0.883793393964963,0.154582815279645,0.167677856927437,-0.0254183953516763,49.1992770729293
6,10,50,3.17043889080817,0.764921245881577,0.902972903189131,0.190395293375572,0.164080640353995,-0.0346551560393839,48.8793557218025
6.5,10,50,3.5618473587683,0.752562166824675,0.913133831076537,0.213898972856533,0.153593364470977,-0.0331090321853439,49.1445164428143
7,10,50,4.11363748060175,0.730718616975603,0.920359284924949,0.235901228016666,0.141508478886935,-0.032361521629863,48.9882635393816
7.5,10,50,5.41988777481063,0.694527868863275,0.937731224402254,0.2966979763752,0.133738735787926,-0.0331944844442756,50.7567103613501
8,10,50,6.18750234337302,0.681923794429241,0.946050160920615,0.351610091188302,0.132512696250311,-0.0390167325519407,49.8726769044601
8.5,10,50,6.73792694670205,0.659753327912908,0.949147368960732,0.375747143659395,0.125723513380902,-0.0387205744513407,49.6734738356272
9,10,50,7.78643998604151,0.654517301932881,0.957356459067994,0.446327274009329,0.128349810420838,-0.0524627962034059,50.2998842818933
9.5,10,50,Inf,0.631798572253396,0.965862558005307,0.562820494176182,0.136098684162154,-0.0928010814828197,50.2706444148191
10,10,50,9.77662644390763,0.616732852261766,0.965906775896057,0.587713716447916,0.114245308886725,-0.0511578329703306,48.2060240140715
1,1,100,1.66514056470629,0.827259677287818,0.836030761539238,0.0512316421606547,0.783655978316117,-0.0243510840622084,99.5225742697103
1.5,1,100,4.04913790267722,0.738235510949786,0.916012188734317,0.110974378593069,0.595983096790372,-0.0589123015454995,98.2793480987251
2,1,100,7.30935693459294,0.655252860843798,0.948304657272584,0.186268654280613,0.452088706577871,-0.0625948496461419,98.4819609428168
2.5,1,100,12.3794321114567,0.580875130548207,0.968370622247597,0.299119039420352,0.385974687574968,-0.0859453405660769,102.354490332593
3,1,100,16.0251735732416,0.551359992165557,0.97589265675695,0.416330282796326,0.336476651167012,-0.100066199740447,97.233226480081
3.5,1,100,Inf,0.514481387995559,0.981922780733149,0.587984798188493,0.30354222652726,-0.129972164161198,92.3803518654052
4,1,100,Inf,0.483621377973673,0.987065950693263,0.772696265542776,0.281120368193561,-0.149607948306193,98.7649493751043
